timestamp,updateId,source,sequenceNumber
1756384599199,75447505846,bookTicker,321
1756384599241,75447505851,depth5,30
1756384599342,75447505859,depth5,31
1756384599368,75447505868,bookTicker,322
1756384599369,75447505869,bookTicker,323
1756384599447,75447505873,depth5,32
1756384599514,75447505878,bookTicker,324
1756384599514,75447505879,bookTicker,325
1756384599515,75447505880,bookTicker,326
1756384599516,75447505881,bookTicker,327
1756384599541,75447505905,depth5,33
1756384599567,75447505922,bookTicker,328
1756384599568,75447505925,bookTicker,329
1756384599568,75447505931,bookTicker,330
1756384599569,75447505934,bookTicker,331
1756384599569,75447505935,bookTicker,332
1756384599570,75447505936,bookTicker,333
1756384599570,75447505937,bookTicker,334
1756384599571,75447505939,bookTicker,335
1756384599571,75447505941,bookTicker,336
1756384599572,75447505944,bookTicker,337
1756384599572,75447505945,bookTicker,338
1756384599573,75447505948,bookTicker,339
1756384599574,75447505950,bookTicker,340
1756384599575,75447505956,bookTicker,341
1756384599629,75447505972,bookTicker,342
1756384599629,75447505973,bookTicker,343
1756384599629,75447505974,bookTicker,344
1756384599630,75447505975,bookTicker,345
1756384599630,75447505976,bookTicker,346
1756384599631,75447505977,bookTicker,347
1756384599631,75447505978,bookTicker,348
1756384599641,75447505983,depth5,34
1756384599668,75447505996,bookTicker,349
1756384599668,75447506002,bookTicker,350
1756384599669,75447506007,bookTicker,351
1756384599669,75447506008,bookTicker,352
1756384599670,75447506010,bookTicker,353
1756384599670,75447506012,bookTicker,354
1756384599670,75447506015,bookTicker,355
1756384599671,75447506016,bookTicker,356
1756384599671,75447506018,bookTicker,357
1756384599672,75447506022,bookTicker,358
1756384599672,75447506023,bookTicker,359
1756384599707,75447506027,bookTicker,360
1756384599742,75447506033,depth5,35
1756384599805,75447506040,bookTicker,361
1756384599847,75447506056,depth5,36
1756384599870,75447506070,bookTicker,362
1756384599871,75447506071,bookTicker,363
1756384599872,75447506073,bookTicker,364
1756384599872,75447506074,bookTicker,365
1756384599873,75447506076,bookTicker,366
1756384599873,75447506077,bookTicker,367
1756384599874,75447506079,bookTicker,368
1756384599874,75447506080,bookTicker,369
1756384599875,75447506082,bookTicker,370
1756384599875,75447506087,bookTicker,371
1756384599877,75447506088,bookTicker,372
1756384599879,75447506090,bookTicker,373
1756384599881,75447506092,bookTicker,374
1756384599882,75447506093,bookTicker,375
1756384599883,75447506094,bookTicker,376
1756384599941,75447506113,depth5,37
1756384599966,75447506125,bookTicker,377
1756384599967,75447506134,bookTicker,378
1756384599968,75447506139,bookTicker,379
1756384600015,75447506146,bookTicker,380
1756384600041,75447506151,depth5,38
1756384600066,75447506158,bookTicker,381
1756384600067,75447506159,bookTicker,382
1756384600068,75447506169,bookTicker,383
1756384600069,75447506172,bookTicker,384
1756384600144,75447506184,depth5,39
1756384600166,75447506190,bookTicker,385
1756384600167,75447506194,bookTicker,386
1756384600170,75447506202,bookTicker,387
1756384600170,75447506203,bookTicker,388
1756384600241,75447506231,depth5,40
1756384600259,75447506213,bookTicker,389
1756384600260,75447506214,bookTicker,390
1756384600260,75447506215,bookTicker,391
1756384600261,75447506216,bookTicker,392
1756384600261,75447506218,bookTicker,393
1756384600263,75447506220,bookTicker,394
1756384600263,75447506221,bookTicker,395
1756384600264,75447506223,bookTicker,396
1756384600264,75447506228,bookTicker,397
1756384600265,75447506230,bookTicker,398
1756384600266,75447506236,bookTicker,399
1756384600266,75447506252,bookTicker,400
1756384600267,75447506258,bookTicker,401
1756384600268,75447506262,bookTicker,402
1756384600268,75447506264,bookTicker,403
1756384600268,75447506265,bookTicker,404
1756384600269,75447506266,bookTicker,405
1756384600269,75447506267,bookTicker,406
1756384600270,75447506269,bookTicker,407
1756384600271,75447506277,bookTicker,408
1756384600272,75447506279,bookTicker,409
